INTERSECTION,CAMERA ID,ADDRESS,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,Month,Year,Week
LAWRENCE AND CICERO,1042.0,4800 N CICERO AVENUE,2022-11-20,4,1143464.651785526,1931490.551883203,41.968048007,-87.747875985,"(41.968048007293845, -87.74787598468126)",November,2022,46
ASHLAND AND LAWRENCE,1142.0,4800 N ASHLAND AVENUE,2020-04-06,6,1164751.686785145,1932001.206626392,41.96902343,-87.669590434,"(41.969023429614026, -87.66959043354217)",April,2020,15
STONEY ISLAND AND 79TH,2462.0,7900 S STONEY ISLAND,2017-07-26,1,1188181.571068297,1852908.934789311,41.751460603,-87.585971993,"(41.75146060316686, -87.5859719929647)",July,2017,30
KEDZIE AND ARMITAGE,1832.0,2000 N KEDZIE AVENUE,2020-09-17,18,1154684.031809326,1913129.496340896,41.917446172,-87.707116072,"(41.91744617191702, -87.70711607187832)",September,2020,38
ADDISON AND HARLEM,1591.0,3600 N HARLEM AVENUE,2015-06-11,6,1127394.594070737,1923110.532422811,41.945338412,-87.807154769,"(41.94533841246591, -87.80715476912044)",June,2015,24
ASHLAND AND MADISON,1914.0,1600 W MADISON,2021-12-03,2,1165723.014733182,1900136.515489506,41.881564167,-87.666929463,"(41.8815641670199, -87.66692946294842)",December,2021,48
DAMEN AND FULLERTON,1663.0,2000 W FULLERTON AVE,2015-07-04,16,1162596.935552891,1915990.579747891,41.925134944,-87.677963546,"(41.92513494374925, -87.67796354553815)",July,2015,27
VAN BUREN AND WESTERN,2052.0,400 S WESTERN AVENUE,2019-07-31,23,1160431.682297829,1898091.942371589,41.876064776,-87.686415631,"(41.87606477642526, -87.68641563098768)",July,2019,31
CICERO AND DIVERSEY,1694.0,4800 W DIVERSEY AVENUE,2015-10-22,1,1143869.848167704,1918226.043989398,41.93164142,-87.746719911,"(41.93164142040689, -87.7467199106462)",October,2015,43
COLUMBUS AND ILLINOIS,1951.0,500 N COLUMBUS DRIVE,2019-12-08,5,1178372.808407292,1903693.06016042,41.891044569,-87.620371839,"(41.891044569124276, -87.620371839074)",December,2019,49
DIVERSEY AND AUSTIN,1454.0,6000 W DIVERSEY AVENUE,2016-09-05,1,1135895.736169343,1918029.70673837,41.931248624,-87.776028612,"(41.931248623643455, -87.77602861172493)",September,2016,36
MILWAUKEE AND MONTROSE,1362.0,4400 N MILWAUKEE AVEN,2017-08-27,1,1141643.943268783,1928770.256316239,41.96061723,-87.75463824,"(41.9606172296957, -87.75463824007085)",August,2017,34
HOLLYWOOD AND SHERIDAN,1344.0,1000 W HOLLYWOOD AVE,2020-01-30,8,1168580.228926466,1938090.295189338,41.985649799,-87.655335807,"(41.98564979859328, -87.65533580655139)",January,2020,5
119TH AND HALSTED,2402.0,11900 S HALSTED,2018-10-17,5,1173094.774616191,1825911.054609338,41.677720829,-87.642051845,"(41.67772082924762, -87.64205184498218)",October,2018,42
FULLERTON AND NARRAGANSETT,1553.0,6400 W FULLERTON AVENU,2021-05-09,2,1133317.594499059,1915293.661305931,41.923786189,-87.785567206,"(41.92378618871128, -87.78556720562165)",May,2021,18
PULASKI AND 63RD,2343.0,4000 W 63RD ST,2014-09-01,1,1150768.346768175,1862564.615405259,41.77876739,-87.722823195,"(41.778767390084305, -87.72282319530368)",September,2014,36
KIMBALL AND DIVERSEY,1583.0,3400 W DIVERSEY AVENUE,2018-02-04,1,1153211.149172713,1918454.477800566,41.932087747,-87.71238583,"(41.932087747378944, -87.71238582951281)",February,2018,5
CERMAK AND PULASKI,2332.0,2200 S PULASKI,2015-12-22,3,1150012.876838243,1889071.75851865,41.851521442,-87.724904787,"(41.85152144233116, -87.7249047867499)",December,2015,52
DIVISION AND DAMEN,1733.0,2000 W DIVISION,2023-04-02,9,1162815.710860194,1908034.672555531,41.903298793,-87.677383247,"(41.903298792681944, -87.67738324739636)",April,2023,13
CICERO AND ADDISON,1611.0,3600 N CICERO AVENUE,2021-11-27,7,1143698.904601495,1923517.005821035,41.946163524,-87.747215169,"(41.94616352362556, -87.74721516897007)",November,2021,47
GRAND AND OAK PARK,1523.0,6800 W GRAND AVENUE,2014-09-09,5,1130668.89526974,1915248.469290467,41.923708193,-87.795300781,"(41.92370819286044, -87.79530078123082)",September,2014,37
HALSTED AND NORTH,1761.0,1600 N HALSTED STREET,2016-02-03,3,1170678.283433825,1910880.991397547,41.910940644,-87.648419043,"(41.91094064391597, -87.64841904272998)",February,2016,5
CICERO AND ARMITAGE,2003.0,4800 W ARMITAGE AVENUE,2019-09-03,2,1144054.25126508,1912907.00926109,41.917041992,-87.746176095,"(41.91704199201953, -87.74617609464687)",September,2019,36
75TH AND STATE,2621.0,7500 S STATE STREET,2019-12-19,13,1177538.763040612,1855235.551345519,41.758092176,-87.624902228,"(41.75809217638291, -87.6249022282473)",December,2019,51
MILWAUKEE AND MONTROSE,1364.0,5075 W MONTROSE AVENUE,2023-08-11,6,1141716.746618898,1928736.076639057,41.960522088,-87.754371424,"(41.96052208819935, -87.75437142402293)",August,2023,32
COTTAGE GROVE AND 71ST,2572.0,7100 S COTTAGE GROVE,2017-12-07,2,1182746.23698699,1858088.011064538,41.765800351,-87.605729127,"(41.76580035131893, -87.6057291269901)",December,2017,49
CENTRAL AND LAKE,1743.0,5600 W LAKE STREET,2021-04-13,6,1138951.495695032,1902230.510465733,41.887838735,-87.765183663,"(41.887838735330206, -87.76518366338465)",April,2021,15
111TH AND HALSTED,2424.0,800 W 111TH ST,2019-07-20,3,1172945.404219168,1831282.917027882,41.692465363,-87.642440901,"(41.692465363421874, -87.64244090105778)",July,2019,29
CICERO AND CHICAGO,1781.0,800 N CICERO AVENUE,2021-12-08,3,1144169.162482127,1904893.189220372,41.895049038,-87.745955516,"(41.89504903796389, -87.74595551626888)",December,2021,49
WESTERN AND 63RD,2373.0,2400 W 63RD ST,2015-12-09,3,1161444.415758584,1862848.534703658,41.779331844,-87.683675761,"(41.77933184429814, -87.68367576084798)",December,2015,50
BELMONT AND KEDZIE,1372.0,3200 N KEDZIE AVE,2018-11-19,9,1154426.977874407,1921110.466549542,41.93935173,-87.707846594,"(41.93935173030961, -87.70784659359776)",November,2018,47
55TH AND WESTERN,2213.0,2400 W 55TH STREET,2016-12-21,6,1161277.012730599,1868185.749490228,41.793981347,-87.684141741,"(41.7939813465735, -87.68414174128355)",December,2016,51
CICERO AND ADDISON,1612.0,3600 N CICERO AVENUE,2018-11-02,7,1143698.904601495,1923517.005821035,41.946163524,-87.747215169,"(41.94616352362556, -87.74721516897007)",November,2018,44
55TH AND WESTERN,2213.0,2400 W 55TH STREET,2022-08-27,2,1161277.012730599,1868185.749490228,41.793981347,-87.684141741,"(41.7939813465735, -87.68414174128355)",August,2022,34
ASHLAND AND LAWRENCE,1142.0,4800 N ASHLAND AVENUE,2019-09-18,7,1164751.686785145,1932001.206626392,41.96902343,-87.669590434,"(41.969023429614026, -87.66959043354217)",September,2019,38
BELMONT AND KEDZIE,1372.0,3200 N KEDZIE AVE,2016-11-22,11,1154426.977874407,1921110.466549542,41.93935173,-87.707846594,"(41.93935173030961, -87.70784659359776)",November,2016,47
STONEY ISLAND AND 76TH,2632.0,7600 S STONY ISLAND A,2021-02-04,14,1188092.796191935,1854889.354158304,41.756897173,-87.586234285,"(41.75689717260223, -87.58623428506996)",February,2021,5
DAMEN AND DIVERSEY,1462.0,2800 N DAMEN AVENUE,2023-02-08,3,1162490.04851994,1918611.623717091,41.932329494,-87.678282719,"(41.9323294940985, -87.67828271931386)",February,2023,6
CICERO AND WASHINGTON,1891.0,100 N CICERO AVENUE,2018-05-18,6,1144328.984091479,1900095.170838459,41.88187971,-87.745489247,"(41.88187970991601, -87.7454892473012)",May,2018,20
HALSTED AND FULLERTON,1704.0,800 W FULLERTON AVENUE,2020-07-26,7,1170525.624723311,1916208.443992778,41.925562791,-87.648823641,"(41.92556279107417, -87.64882364145232)",July,2020,30
ASHLAND AND MADISON,1911.0,0 N ASHLAND AVE,2022-01-10,5,1165717.27454303,1900112.623986909,41.881498729,-87.666951222,"(41.88149872915566, -87.66695122185307)",January,2022,2
CALIFORNIA AND DIVERSEY,1514.0,2800 W DIVERSEY,2018-06-13,18,1157212.54253358,1918526.674434943,41.932205395,-87.697679244,"(41.93220539506452, -87.6976792438691)",June,2018,24
LAKE SHORE DR AND BELMONT,1412.0,3200 N LAKESHORE DRIV,2021-04-09,5,1173053.220555078,1921821.380831705,41.940909163,-87.63936916,"(41.94090916326764, -87.63936915995522)",April,2021,14
PETERSON AND WESTERN,1011.0,6000 N WESTERN AVE,2017-06-19,3,1159190.625032041,1939816.75471116,41.990586042,-87.689822473,"(41.99058604241958, -87.68982247294417)",June,2017,25
87TH AND VINCENNES,2413.0,848 W 87TH STREET,2018-02-21,6,1172002.531006759,1847197.326168367,41.736157546,-87.6454274,"(41.73615754630335, -87.64542740049411)",February,2018,8
CICERO AND CHICAGO,1783.0,4800 W CHICAGO AVENUE,2018-10-06,6,1144175.291152764,1904916.255225279,41.895112219,-87.745932427,"(41.89511221857764, -87.74593242701515)",October,2018,40
PULASKI AND FOSTER,1104.0,4000 W FOSTER AVE,2021-04-04,8,1148759.16134887,1934294.249006446,41.975640616,-87.728335469,"(41.975640616231914, -87.72833546926573)",April,2021,13
ELSTON AND LAWRENCE,1282.0,4800 N ELSTON AVENUE,2020-07-29,2,1145529.344259918,1931501.601268983,41.968039361,-87.740283894,"(41.96803936143674, -87.74028389448999)",July,2020,31
VAN BUREN AND WESTERN,2052.0,400 S WESTERN AVENUE,2019-07-03,33,1160431.682297829,1898091.942371589,41.876064776,-87.686415631,"(41.87606477642526, -87.68641563098768)",July,2019,27
WESTERN AND 63RD,2371.0,6300 S WESTERN AVE,2023-01-23,2,1161415.712688877,1862772.38856596,41.779123484,-87.683783099,"(41.77912348383963, -87.68378309863576)",January,2023,4
FULLERTON AND NARRAGANSETT,1553.0,6400 W FULLERTON AVENU,2021-04-06,4,1133317.594499059,1915293.661305931,41.923786189,-87.785567206,"(41.92378618871128, -87.78556720562165)",April,2021,14
MONTROSE AND WESTERN,1224.0,2400 W MONTROSE AVENUE,2018-12-23,2,1159562.971802959,1929191.337701253,41.961421726,-87.68874698,"(41.961421726406314, -87.68874697983858)",December,2018,51
35TH AND WESTERN,2092.0,3500 S WESTERN,2021-10-10,1,1160894.949857101,1881376.851112895,41.830187255,-87.685177925,"(41.83018725526863, -87.68517792510231)",October,2021,40
35TH AND WESTERN,2092.0,3500 S WESTERN,2020-08-21,5,1160894.949857101,1881376.851112895,41.830187255,-87.685177925,"(41.83018725526863, -87.68517792510231)",August,2020,34
WESTERN AND 63RD,2373.0,2400 W 63RD ST,2020-03-09,2,1161444.415758584,1862848.534703658,41.779331844,-87.683675761,"(41.77933184429814, -87.68367576084798)",March,2020,11
119TH AND HALSTED,2404.0,800 W 119TH STREET,2022-02-12,1,1173111.174088158,1825985.001014405,41.677923389,-87.641989646,"(41.677923389134385, -87.64198964584013)",February,2022,6
PETERSON AND WESTERN,1014.0,2400 W PETERSON,2017-10-04,6,1159214.211316277,1939825.301874586,41.99060901,-87.689735481,"(41.990609009807294, -87.68973548092968)",October,2017,40
CLARK AND IRVING PARK,1091.0,4000 N CLARK STREET,2019-09-27,3,1166736.149822904,1926699.323624709,41.954432441,-87.662446259,"(41.95443244141688, -87.66244625914061)",September,2019,39
ASHLAND AND 87TH,2454.0,1600 W 87TH ST,2023-08-24,20,1167171.941297436,1847064.855345151,41.735898617,-87.663128781,"(41.735898617066006, -87.66312878090133)",August,2023,34
SHERIDAN AND FOSTER,1134.0,1000 W FOSTER AVE,2017-06-11,7,1168689.247756979,1934758.578141654,41.976505116,-87.655031882,"(41.97650511595711, -87.65503188224778)",June,2017,23
KEDZIE AND 47TH,2101.0,4700 S KEDZIE AVE,2017-10-26,2,1155791.949302478,1873270.778481327,41.808047272,-87.704118822,"(41.80804727165029, -87.70411882229871)",October,2017,43
IRVING PARK AND NARRAGANSETT,1024.0,6400 W IRVING PK,2017-11-27,1,1132945.939118726,1925946.304925137,41.953024751,-87.786683238,"(41.95302475075328, -87.78668323766634)",November,2017,48
DIVERSEY AND WESTERN,1434.0,2400 W DIVERSEY AVENUE,2022-06-12,2,1159859.648423836,1918576.255784305,41.932287183,-87.687950093,"(41.93228718299094, -87.6879500934122)",June,2022,23
LAFAYETTE AND 87TH,2502.0,8700 S LAFAYETTE AVEN,2022-11-06,15,1177417.493180297,1847243.988223464,41.73616511,-87.625587569,"(41.73616511008592, -87.62558756899932)",November,2022,44
PULASKI AND NORTH,1992.0,1600 N PULASKI AVENUE,2017-07-13,1,1149432.959240306,1910369.112502195,41.90997501,-87.726480523,"(41.909975010236906, -87.72648052306623)",July,2017,28
CENTRAL AND BELMONT,1604.0,5600 W BELMONT AVENUE,2020-04-10,1,1138453.617438343,1920755.972768412,41.938683775,-87.766562494,"(41.93868377475747, -87.76656249384537)",April,2020,15
CICERO AND HARRISON,2023.0,4800 W HARRISON STREET,2016-08-15,1,1144451.867388303,1896949.561959463,41.873245464,-87.745117179,"(41.873245464379586, -87.7451171788807)",August,2016,33
MADISON AND WESTERN,1934.0,2400 W MADISON,2014-09-26,3,1160384.621277157,1899988.655722373,41.881270504,-87.68653594,"(41.88127050428818, -87.68653594017124)",September,2014,39
MILWAUKEE AND DEVON,1272.0,6400 N MILWAUKEE AVEN,2015-01-10,1,1132463.750397878,1942107.911507627,41.997382173,-87.788077674,"(41.99738217345368, -87.78807767391953)",January,2015,2
HALSTED AND DIVISION,1714.0,800 W DIVISION,2020-04-09,2,1170767.827960358,1908259.644151662,41.903745557,-87.648167011,"(41.90374555734733, -87.64816701062779)",April,2020,15
CLARK AND FULLERTON,1631.0,2400 N CLARK ST,2016-10-03,3,1172749.562209477,1916238.997132859,41.925597623,-87.640650973,"(41.925597623023144, -87.64065097309872)",October,2016,40
PULASKI AND CHICAGO,1983.0,4000 W CHICAGO AVENUE,2023-04-12,11,1149561.855939692,1905086.596446259,41.895476752,-87.72614436,"(41.89547675163723, -87.72614435991626)",April,2023,15
99TH AND HALSTED,2433.0,800 W 99TH ST,2017-10-08,19,1172710.642565684,1839246.330602143,41.714323337,-87.643066714,"(41.71432333701137, -87.64306671421937)",October,2017,40
99TH AND HALSTED,2433.0,800 W 99TH ST,2023-01-28,18,1172710.642565684,1839246.330602143,41.714323337,-87.643066714,"(41.71432333701137, -87.64306671421937)",January,2023,4
CICERO AND PETERSON,1204.0,4800 W PETERSON AVENUE,2017-07-02,3,1143273.766829016,1939491.944645127,41.990008007,-87.748376951,"(41.99000800729908, -87.74837695118997)",July,2017,26
PULASKI AND FULLERTON,1484.0,4000 W FULLERTON AVE,2022-11-20,10,1149303.081963737,1915695.275222648,41.924593022,-87.726819268,"(41.92459302175305, -87.7268192684032)",November,2022,46
CICERO AND ADDISON,1611.0,3600 N CICERO AVENUE,2016-06-26,7,1143698.904601495,1923517.005821035,41.946163524,-87.747215169,"(41.94616352362556, -87.74721516897007)",June,2016,25
63RD AND STATE,2714.0,1 E 63RD ST,2014-10-21,3,1177367.518733101,1863199.17768559,41.779949105,-87.625289553,"(41.779949104569106, -87.62528955333775)",October,2014,43
MADISON AND WESTERN,1934.0,2400 W MADISON,2015-03-09,2,1160384.621277157,1899988.655722373,41.881270504,-87.68653594,"(41.88127050428818, -87.68653594017124)",March,2015,11
PULASKI AND 79TH,2492.0,7900 S PULASKI ROAD,2022-12-26,4,1151054.87395657,1851842.663854121,41.749339,-87.722052091,"(41.74933900008238, -87.72205209091501)",December,2022,52
ASHLAND AND 95TH,2473.0,1600 W 95TH STREET,2018-11-11,6,1167323.753394196,1841755.029221382,41.721324412,-87.662724153,"(41.721324411975246, -87.66272415265087)",November,2018,45
DIVISION AND DAMEN,1734.0,2000 W DIVISION,2022-10-09,7,1162815.710860194,1908034.672555531,41.903298793,-87.677383247,"(41.903298792681944, -87.67738324739636)",October,2022,40
CICERO AND DIVERSEY,1694.0,4800 W DIVERSEY AVENUE,2015-07-31,2,1143869.848167704,1918226.043989398,41.93164142,-87.746719911,"(41.93164142040689, -87.7467199106462)",July,2015,31
HALSTED AND NORTH,1761.0,1600 N HALSTED STREET,2017-01-13,6,1170678.283433825,1910880.991397547,41.910940644,-87.648419043,"(41.91094064391597, -87.64841904272998)",January,2017,2
STONEY ISLAND AND 79TH,2461.0,7900 S SOUTH CHICAGO AVE,2016-11-21,2,1188274.655498937,1852865.685797892,41.751339705,-87.585632266,"(41.751339704589455, -87.58563226565187)",November,2016,47
ASHLAND AND IRVING PARK,1151.0,4000 N ASHLAND AVENUE,2021-05-06,2,1164899.463802581,1926665.661118925,41.954379326,-87.66919912,"(41.954379326212695, -87.66919911980419)",May,2021,18
HARLEM AND BELMONT,1394.0,7200 W BELMONT AVE,2014-10-24,5,1127504.698153561,1920475.415440844,41.938105479,-87.806809552,"(41.93810547939496, -87.80680955240743)",October,2014,43
ASHLAND AND LAWRENCE,1143.0,1600 W LAWRENCE AVENUE,2022-09-10,7,1164771.946929007,1931988.254061312,41.968987457,-87.669516307,"(41.96898745654617, -87.66951630654926)",September,2022,36
55TH AND WESTERN,2212.0,5500 S WESTERN AVE,2018-07-31,4,1161269.521335262,1867963.111601251,41.793370554,-87.684175377,"(41.79337055433029, -87.6841753767592)",July,2018,31
LARAMIE AND MADISON,2043.0,5200 W MADISON STREET,2021-09-27,12,1141706.965522802,1899567.55684314,41.880480752,-87.755130433,"(41.88048075170171, -87.75513043296509)",September,2021,39
CICERO AND 47TH,2204.0,4800 W 47TH ST,2015-09-09,8,1145130.048925744,1873078.44198302,41.807727017,-87.743229366,"(41.80772701677172, -87.74322936566276)",September,2015,37
SACRAMENTO AND CHICAGO,1812.0,800 N SACRAMENTO AVEN,2016-08-14,3,1156039.008141929,1905193.084100581,41.895640714,-87.702352328,"(41.89564071387542, -87.70235232767416)",August,2016,32
CENTRAL AND IRVING PARK,1183.0,5600 W IRVING PARK ROAD,2019-05-02,2,1138281.535484986,1926078.647777633,41.953292847,-87.767065708,"(41.953292847298, -87.76706570775266)",May,2019,18
CALIFORNIA AND DEVON,1323.0,2800 W DEVON AVENUE,2020-04-07,1,1156484.528078038,1942377.980662191,41.997669523,-87.699706423,"(41.99766952286052, -87.69970642324591)",April,2020,15
CICERO AND HARRISON,2023.0,4800 W HARRISON STREET,2019-07-18,2,1144451.867388303,1896949.561959463,41.873245464,-87.745117179,"(41.873245464379586, -87.7451171788807)",July,2019,29
LARAMIE AND FULLERTON,1421.0,2400 N LARAMIE AVENUE,2023-07-26,4,1141282.877477884,1915479.163971956,41.924151874,-87.756294662,"(41.92415187425276, -87.75629466175003)",July,2023,30
ASHLAND AND 87TH,2452.0,8700 S ASHLAND AVE,2016-12-21,2,1167150.470087748,1846991.212339794,41.735696989,-87.663209544,"(41.73569698863625, -87.66320954445679)",December,2016,51
COTTAGE GROVE AND 71ST,2572.0,7100 S COTTAGE GROVE,2020-12-26,1,1182746.23698699,1858088.011064538,41.765800351,-87.605729127,"(41.76580035131893, -87.6057291269901)",December,2020,52
ASHLAND AND IRVING PARK,1151.0,4000 N ASHLAND AVENUE,2021-08-17,3,1164899.463802581,1926665.661118925,41.954379326,-87.66919912,"(41.954379326212695, -87.66919911980419)",August,2021,33
MICHIGAN AND ONTARIO,3082.0,628 N MICHIGAN AVE,2023-06-24,9,1177278.716938521,1904554.133997858,41.893432274,-87.624363719,"(41.893432274200684, -87.62436371928398)",June,2023,25
CICERO AND ADDISON,1611.0,3600 N CICERO AVENUE,2018-12-14,8,1143698.904601495,1923517.005821035,41.946163524,-87.747215169,"(41.94616352362556, -87.74721516897007)",December,2018,50
WESTERN AND 79TH,2484.0,2400 W 79TH ST,2017-05-16,1,1161758.68085177,1852242.255513454,41.750220168,-87.682817693,"(41.75022016799851, -87.68281769253687)",May,2017,20
FOSTER AND BROADWAY,1111.0,5200 N BROADWAY ST,2017-07-18,7,1167334.508577915,1934714.008346532,41.976412143,-87.660015082,"(41.97641214294823, -87.66001508205365)",July,2017,29
SHERIDAN AND FOSTER,1132.0,5200 N SHERIDAN ROAD,2015-01-15,2,1168661.623718229,1934753.842272756,41.976492721,-87.655133605,"(41.97649272077833, -87.65513360456677)",January,2015,3
PULASKI AND PETERSON,1262.0,6000 N PULASKI ROAD,2015-03-23,1,1148598.016685695,1939584.645960177,41.990160923,-87.728790748,"(41.99016092280557, -87.72879074759867)",March,2015,13
AUSTIN AND ADDISON,1491.0,3600 N AUSTIN AVENUE,2017-08-30,4,1135691.599896458,1923335.967306169,41.945813215,-87.776652162,"(41.9458132146695, -87.77665216156436)",August,2017,35
CENTRAL AND ADDISON,1682.0,3600 N CENTRAL AVENUE,2020-07-26,1,1138343.117435682,1923392.067464765,41.945919491,-87.766904594,"(41.945919490555106, -87.76690459426293)",July,2020,30
WENTWORTH AND GARFIELD,2264.0,200 W GARFIELD BLVD,2016-10-13,18,1175889.574397302,1868551.750512227,41.794670385,-87.630547476,"(41.79467038468937, -87.63054747605638)",October,2016,41
87TH AND VINCENNES,2413.0,848 W 87TH STREET,2019-05-27,10,1172002.531006759,1847197.326168367,41.736157546,-87.6454274,"(41.73615754630335, -87.64542740049411)",May,2019,22
111TH AND HALSTED,2422.0,11100 S HALSTED ST,2020-11-11,14,1172923.657689312,1831209.044179248,41.692263123,-87.642522688,"(41.692263123425136, -87.6425226876268)",November,2020,46
STONY ISLAND/CORNELL AND 67TH,2731.0,6700 S CORNELL DRIVE,2020-01-02,15,1188316.454860734,1860851.137456735,41.77325149,-87.5852246,"(41.77325148959568, -87.58522459967712)",January,2020,1
KEDZIE AND 31ST,2134.0,3200 W 31ST STREET,2016-05-15,4,1155487.128005646,1883943.061106793,41.8373395,-87.704950558,"(41.83733950029648, -87.70495055800411)",May,2016,19
